date,decision,actual,confidence,traded,correct,pnl,lstm_signal,probs
2025-11-26,NO_TRADE,SELL,0.344,False,False,0.0,0.91,"{'BUY': np.float32(0.3442582), 'NO_TRADE': np.float32(0.32259622), 'SELL': np.float32(0.3331456)}"
2025-11-27,NO_TRADE,SELL,0.488,False,False,0.0,1.91,"{'BUY': np.float32(0.48770234), 'NO_TRADE': np.float32(0.44726628), 'SELL': np.float32(0.06503138)}"
2025-11-28,BUY,BUY,0.751,True,True,1.51,2.24,"{'BUY': np.float32(0.7507399), 'NO_TRADE': np.float32(0.1454851), 'SELL': np.float32(0.103775)}"
2025-12-01,NO_TRADE,NO_TRADE,0.515,False,True,0.0,0.47,"{'BUY': np.float32(0.1062622), 'NO_TRADE': np.float32(0.37920222), 'SELL': np.float32(0.51453555)}"
2025-12-02,NO_TRADE,NO_TRADE,0.422,False,True,0.0,0.62,"{'BUY': np.float32(0.3092922), 'NO_TRADE': np.float32(0.42194518), 'SELL': np.float32(0.26876262)}"
2025-12-03,NO_TRADE,SELL,0.374,False,False,0.0,0.77,"{'BUY': np.float32(0.33239257), 'NO_TRADE': np.float32(0.3739012), 'SELL': np.float32(0.2937062)}"
2025-12-04,NO_TRADE,BUY,0.642,False,False,0.0,1.58,"{'BUY': np.float32(0.64235), 'NO_TRADE': np.float32(0.25595245), 'SELL': np.float32(0.10169758)}"
2025-12-05,NO_TRADE,NO_TRADE,0.498,False,True,0.0,0.59,"{'BUY': np.float32(0.29682902), 'NO_TRADE': np.float32(0.4976145), 'SELL': np.float32(0.20555647)}"
2025-12-08,NO_TRADE,SELL,0.535,False,False,0.0,0.63,"{'BUY': np.float32(0.3701413), 'NO_TRADE': np.float32(0.095201544), 'SELL': np.float32(0.5346571)}"
2025-12-09,BUY,NO_TRADE,0.741,True,False,-0.31,3.18,"{'BUY': np.float32(0.74060017), 'NO_TRADE': np.float32(0.16013166), 'SELL': np.float32(0.09926811)}"
2025-12-10,NO_TRADE,SELL,0.567,False,False,0.0,3.41,"{'BUY': np.float32(0.4014261), 'NO_TRADE': np.float32(0.5668754), 'SELL': np.float32(0.031698488)}"
2025-12-11,NO_TRADE,NO_TRADE,0.636,False,True,0.0,4.33,"{'BUY': np.float32(0.23632358), 'NO_TRADE': np.float32(0.63639265), 'SELL': np.float32(0.12728375)}"
2025-12-12,NO_TRADE,BUY,0.667,False,False,0.0,4.22,"{'BUY': np.float32(0.23417619), 'NO_TRADE': np.float32(0.6674979), 'SELL': np.float32(0.09832593)}"
2025-12-15,NO_TRADE,SELL,0.473,False,False,0.0,0.4,"{'BUY': np.float32(0.3626861), 'NO_TRADE': np.float32(0.47341475), 'SELL': np.float32(0.16389917)}"
2025-12-16,NO_TRADE,SELL,0.343,False,False,0.0,3.22,"{'BUY': np.float32(0.3426158), 'NO_TRADE': np.float32(0.3176115), 'SELL': np.float32(0.33977267)}"
2025-12-17,NO_TRADE,BUY,0.511,False,False,0.0,3.8,"{'BUY': np.float32(0.3231541), 'NO_TRADE': np.float32(0.5113408), 'SELL': np.float32(0.16550511)}"
2025-12-18,NO_TRADE,SELL,0.404,False,False,0.0,1.83,"{'BUY': np.float32(0.2818098), 'NO_TRADE': np.float32(0.31388158), 'SELL': np.float32(0.40430862)}"
2025-12-19,NO_TRADE,BUY,0.748,True,False,0.0,3.39,"{'BUY': np.float32(0.21678306), 'NO_TRADE': np.float32(0.74753046), 'SELL': np.float32(0.03568653)}"
2025-12-22,NO_TRADE,SELL,0.428,False,False,0.0,1.74,"{'BUY': np.float32(0.42771545), 'NO_TRADE': np.float32(0.3135342), 'SELL': np.float32(0.25875032)}"
2025-12-23,NO_TRADE,NO_TRADE,0.427,False,True,0.0,3.66,"{'BUY': np.float32(0.22043152), 'NO_TRADE': np.float32(0.42658776), 'SELL': np.float32(0.35298076)}"
