date,decision,actual,confidence,traded,correct,pnl,lstm_signal,probs
2025-11-26,NO_TRADE,SELL,0.626,False,False,0.0,3.39,"{'BUY': np.float32(0.625533), 'NO_TRADE': np.float32(0.11584431), 'SELL': np.float32(0.25862274)}"
2025-11-27,NO_TRADE,SELL,0.613,False,False,0.0,4.6,"{'BUY': np.float32(0.6133692), 'NO_TRADE': np.float32(0.13289633), 'SELL': np.float32(0.25373447)}"
2025-11-28,BUY,NO_TRADE,0.849,True,False,-0.27,6.08,"{'BUY': np.float32(0.84921646), 'NO_TRADE': np.float32(0.071761616), 'SELL': np.float32(0.079021916)}"
2025-12-01,BUY,BUY,0.724,True,True,1.09,6.12,"{'BUY': np.float32(0.7242597), 'NO_TRADE': np.float32(0.033980858), 'SELL': np.float32(0.2417595)}"
2025-12-02,SELL,SELL,0.878,True,True,1.35,4.78,"{'BUY': np.float32(0.10448519), 'NO_TRADE': np.float32(0.017076941), 'SELL': np.float32(0.8784379)}"
2025-12-03,BUY,BUY,0.72,True,True,0.82,6.11,"{'BUY': np.float32(0.71979153), 'NO_TRADE': np.float32(0.1392217), 'SELL': np.float32(0.1409868)}"
2025-12-04,NO_TRADE,SELL,0.472,False,False,0.0,5.1,"{'BUY': np.float32(0.47182995), 'NO_TRADE': np.float32(0.24537364), 'SELL': np.float32(0.2827964)}"
2025-12-05,NO_TRADE,BUY,0.412,False,False,0.0,6.22,"{'BUY': np.float32(0.3324443), 'NO_TRADE': np.float32(0.41173196), 'SELL': np.float32(0.25582376)}"
2025-12-08,NO_TRADE,NO_TRADE,0.383,False,True,0.0,5.61,"{'BUY': np.float32(0.38265675), 'NO_TRADE': np.float32(0.35785007), 'SELL': np.float32(0.2594932)}"
2025-12-09,NO_TRADE,SELL,0.466,False,False,0.0,5.38,"{'BUY': np.float32(0.46572334), 'NO_TRADE': np.float32(0.15657066), 'SELL': np.float32(0.37770605)}"
2025-12-10,NO_TRADE,SELL,0.631,False,False,0.0,6.0,"{'BUY': np.float32(0.63059014), 'NO_TRADE': np.float32(0.120908886), 'SELL': np.float32(0.248501)}"
2025-12-11,SELL,NO_TRADE,0.736,True,False,-0.28,7.26,"{'BUY': np.float32(0.21600895), 'NO_TRADE': np.float32(0.04829969), 'SELL': np.float32(0.73569137)}"
2025-12-12,NO_TRADE,BUY,0.582,False,False,0.0,6.97,"{'BUY': np.float32(0.582052), 'NO_TRADE': np.float32(0.052410077), 'SELL': np.float32(0.36553794)}"
2025-12-15,SELL,SELL,0.766,True,True,2.38,2.82,"{'BUY': np.float32(0.15336904), 'NO_TRADE': np.float32(0.08102206), 'SELL': np.float32(0.76560885)}"
2025-12-16,NO_TRADE,BUY,0.618,False,False,0.0,5.54,"{'BUY': np.float32(0.6181047), 'NO_TRADE': np.float32(0.015297158), 'SELL': np.float32(0.36659816)}"
2025-12-17,NO_TRADE,BUY,0.579,False,False,0.0,3.91,"{'BUY': np.float32(0.1759944), 'NO_TRADE': np.float32(0.24480547), 'SELL': np.float32(0.5792001)}"
2025-12-18,NO_TRADE,NO_TRADE,0.411,False,True,0.0,3.22,"{'BUY': np.float32(0.18719275), 'NO_TRADE': np.float32(0.40147075), 'SELL': np.float32(0.41133654)}"
2025-12-19,NO_TRADE,NO_TRADE,0.485,False,True,0.0,3.62,"{'BUY': np.float32(0.48531953), 'NO_TRADE': np.float32(0.1920977), 'SELL': np.float32(0.32258284)}"
2025-12-22,NO_TRADE,NO_TRADE,0.696,False,True,0.0,4.0,"{'BUY': np.float32(0.2184206), 'NO_TRADE': np.float32(0.08602559), 'SELL': np.float32(0.69555384)}"
2025-12-23,SELL,NO_TRADE,0.787,True,False,-0.0,3.78,"{'BUY': np.float32(0.15477116), 'NO_TRADE': np.float32(0.05780605), 'SELL': np.float32(0.7874228)}"
2025-12-24,NO_TRADE,NO_TRADE,0.542,False,True,0.0,3.82,"{'BUY': np.float32(0.26265383), 'NO_TRADE': np.float32(0.19584015), 'SELL': np.float32(0.54150605)}"
2025-12-29,NO_TRADE,NO_TRADE,0.544,False,True,0.0,3.58,"{'BUY': np.float32(0.37284997), 'NO_TRADE': np.float32(0.08340956), 'SELL': np.float32(0.54374045)}"
2025-12-30,SELL,SELL,0.85,True,True,0.55,3.16,"{'BUY': np.float32(0.12088296), 'NO_TRADE': np.float32(0.029313663), 'SELL': np.float32(0.8498034)}"
2026-01-02,BUY,NO_TRADE,0.741,True,False,-0.27,3.76,"{'BUY': np.float32(0.74067444), 'NO_TRADE': np.float32(0.04194341), 'SELL': np.float32(0.21738221)}"
2026-01-05,NO_TRADE,BUY,0.501,False,False,0.0,4.07,"{'BUY': np.float32(0.5005518), 'NO_TRADE': np.float32(0.058659058), 'SELL': np.float32(0.44078916)}"
2026-01-06,NO_TRADE,BUY,0.549,False,False,0.0,2.68,"{'BUY': np.float32(0.43995252), 'NO_TRADE': np.float32(0.0111239385), 'SELL': np.float32(0.54892355)}"
2026-01-07,NO_TRADE,NO_TRADE,0.524,False,True,0.0,2.19,"{'BUY': np.float32(0.5243527), 'NO_TRADE': np.float32(0.021060234), 'SELL': np.float32(0.454587)}"
