date,decision,actual,confidence,traded,correct,pnl,lstm_signal,probs
2025-11-26,NO_TRADE,SELL,0.642,False,False,0.0,-3.87,"{'BUY': np.float32(0.09518907), 'NO_TRADE': np.float32(0.2628543), 'SELL': np.float32(0.6419566)}"
2025-11-27,NO_TRADE,SELL,0.384,False,False,0.0,-0.55,"{'BUY': np.float32(0.32568488), 'NO_TRADE': np.float32(0.29037756), 'SELL': np.float32(0.3839376)}"
2025-11-28,NO_TRADE,BUY,0.422,False,False,0.0,0.02,"{'BUY': np.float32(0.34916338), 'NO_TRADE': np.float32(0.42157134), 'SELL': np.float32(0.22926527)}"
2025-12-01,NO_TRADE,NO_TRADE,0.666,False,True,0.0,-0.69,"{'BUY': np.float32(0.6658193), 'NO_TRADE': np.float32(0.074786715), 'SELL': np.float32(0.25939402)}"
2025-12-02,BUY,BUY,0.793,True,True,0.62,-0.59,"{'BUY': np.float32(0.7927242), 'NO_TRADE': np.float32(0.037755687), 'SELL': np.float32(0.16952018)}"
2025-12-03,NO_TRADE,BUY,0.662,False,False,0.0,-1.29,"{'BUY': np.float32(0.2667387), 'NO_TRADE': np.float32(0.07106739), 'SELL': np.float32(0.6621939)}"
2025-12-04,NO_TRADE,NO_TRADE,0.533,False,True,0.0,-2.2,"{'BUY': np.float32(0.32776293), 'NO_TRADE': np.float32(0.1397156), 'SELL': np.float32(0.5325214)}"
2025-12-05,NO_TRADE,BUY,0.426,False,False,0.0,-1.83,"{'BUY': np.float32(0.24645843), 'NO_TRADE': np.float32(0.4258118), 'SELL': np.float32(0.32772985)}"
2025-12-08,NO_TRADE,SELL,0.594,False,False,0.0,-2.82,"{'BUY': np.float32(0.14321281), 'NO_TRADE': np.float32(0.26301536), 'SELL': np.float32(0.5937719)}"
2025-12-09,NO_TRADE,BUY,0.467,False,False,0.0,-1.59,"{'BUY': np.float32(0.24056335), 'NO_TRADE': np.float32(0.46669784), 'SELL': np.float32(0.29273883)}"
2025-12-10,NO_TRADE,NO_TRADE,0.392,False,True,0.0,-3.16,"{'BUY': np.float32(0.2506892), 'NO_TRADE': np.float32(0.3573208), 'SELL': np.float32(0.39199)}"
2025-12-11,NO_TRADE,SELL,0.453,False,False,0.0,-2.74,"{'BUY': np.float32(0.45267797), 'NO_TRADE': np.float32(0.13690522), 'SELL': np.float32(0.41041687)}"
2025-12-12,NO_TRADE,BUY,0.474,False,False,0.0,-0.12,"{'BUY': np.float32(0.10377931), 'NO_TRADE': np.float32(0.42191294), 'SELL': np.float32(0.4743078)}"
2025-12-15,SELL,NO_TRADE,0.737,True,False,-0.2,-3.56,"{'BUY': np.float32(0.07874016), 'NO_TRADE': np.float32(0.1842212), 'SELL': np.float32(0.7370387)}"
2025-12-16,NO_TRADE,NO_TRADE,0.374,False,True,0.0,-3.77,"{'BUY': np.float32(0.26311576), 'NO_TRADE': np.float32(0.37423575), 'SELL': np.float32(0.36264843)}"
2025-12-17,NO_TRADE,BUY,0.557,False,False,0.0,-4.24,"{'BUY': np.float32(0.07297015), 'NO_TRADE': np.float32(0.37034222), 'SELL': np.float32(0.55668765)}"
2025-12-18,SELL,NO_TRADE,0.866,True,False,-0.49,-6.56,"{'BUY': np.float32(0.053763583), 'NO_TRADE': np.float32(0.08029734), 'SELL': np.float32(0.8659391)}"
2025-12-19,SELL,SELL,0.851,True,True,1.45,-6.98,"{'BUY': np.float32(0.056753866), 'NO_TRADE': np.float32(0.09190739), 'SELL': np.float32(0.8513387)}"
2025-12-22,NO_TRADE,SELL,0.877,True,False,0.0,-5.52,"{'BUY': np.float32(0.036295827), 'NO_TRADE': np.float32(0.8772307), 'SELL': np.float32(0.0864735)}"
2025-12-23,NO_TRADE,NO_TRADE,0.519,False,True,0.0,-4.54,"{'BUY': np.float32(0.34853464), 'NO_TRADE': np.float32(0.51912653), 'SELL': np.float32(0.13233879)}"
2025-12-24,NO_TRADE,NO_TRADE,0.568,False,True,0.0,-4.55,"{'BUY': np.float32(0.36617544), 'NO_TRADE': np.float32(0.06632144), 'SELL': np.float32(0.56750315)}"
2025-12-29,NO_TRADE,NO_TRADE,0.604,False,True,0.0,-5.04,"{'BUY': np.float32(0.33456045), 'NO_TRADE': np.float32(0.060992636), 'SELL': np.float32(0.6044469)}"
2025-12-30,SELL,NO_TRADE,0.795,True,False,0.49,-5.54,"{'BUY': np.float32(0.14156109), 'NO_TRADE': np.float32(0.06308248), 'SELL': np.float32(0.7953564)}"
2026-01-02,NO_TRADE,NO_TRADE,0.366,False,True,0.0,-5.12,"{'BUY': np.float32(0.33353835), 'NO_TRADE': np.float32(0.3662289), 'SELL': np.float32(0.3002327)}"
2026-01-05,NO_TRADE,SELL,0.507,False,False,0.0,-4.67,"{'BUY': np.float32(0.5066541), 'NO_TRADE': np.float32(0.16474494), 'SELL': np.float32(0.32860097)}"
2026-01-06,NO_TRADE,SELL,0.585,False,False,0.0,-3.31,"{'BUY': np.float32(0.26590583), 'NO_TRADE': np.float32(0.1495597), 'SELL': np.float32(0.5845344)}"
2026-01-07,SELL,NO_TRADE,0.834,True,False,-0.0,-1.93,"{'BUY': np.float32(0.03929003), 'NO_TRADE': np.float32(0.12718506), 'SELL': np.float32(0.8335249)}"
2026-01-08,SELL,SELL,0.868,True,True,1.04,-2.02,"{'BUY': np.float32(0.06832634), 'NO_TRADE': np.float32(0.063759774), 'SELL': np.float32(0.86791384)}"
2026-01-09,NO_TRADE,NO_TRADE,0.531,False,True,0.0,-1.1,"{'BUY': np.float32(0.3011059), 'NO_TRADE': np.float32(0.16770135), 'SELL': np.float32(0.5311928)}"
2026-01-12,NO_TRADE,BUY,0.493,False,False,0.0,-1.42,"{'BUY': np.float32(0.3147245), 'NO_TRADE': np.float32(0.19195402), 'SELL': np.float32(0.49332148)}"
2026-01-13,NO_TRADE,NO_TRADE,0.662,False,True,0.0,-2.54,"{'BUY': np.float32(0.23207383), 'NO_TRADE': np.float32(0.10601507), 'SELL': np.float32(0.6619111)}"
2026-01-14,NO_TRADE,BUY,0.687,False,False,0.0,-2.97,"{'BUY': np.float32(0.09280974), 'NO_TRADE': np.float32(0.22039016), 'SELL': np.float32(0.6868001)}"
2026-01-15,SELL,NO_TRADE,0.776,True,False,-0.2,-5.85,"{'BUY': np.float32(0.099716984), 'NO_TRADE': np.float32(0.12442552), 'SELL': np.float32(0.7758575)}"
2026-01-19,SELL,NO_TRADE,0.761,True,False,-0.5,-5.94,"{'BUY': np.float32(0.18110724), 'NO_TRADE': np.float32(0.057997867), 'SELL': np.float32(0.76089495)}"
2026-01-20,SELL,SELL,0.892,True,True,0.7,-6.28,"{'BUY': np.float32(0.045740806), 'NO_TRADE': np.float32(0.06191166), 'SELL': np.float32(0.89234746)}"
2026-01-21,NO_TRADE,NO_TRADE,0.526,False,True,0.0,-5.49,"{'BUY': np.float32(0.06273108), 'NO_TRADE': np.float32(0.52636963), 'SELL': np.float32(0.4108993)}"
2026-01-22,SELL,NO_TRADE,0.817,True,False,-0.2,-5.21,"{'BUY': np.float32(0.12046907), 'NO_TRADE': np.float32(0.062142022), 'SELL': np.float32(0.8173889)}"
2026-01-23,SELL,SELL,0.937,True,True,1.6,-5.34,"{'BUY': np.float32(0.035977073), 'NO_TRADE': np.float32(0.02662251), 'SELL': np.float32(0.9374004)}"
2026-01-26,SELL,SELL,0.912,True,True,2.04,-3.8,"{'BUY': np.float32(0.04789718), 'NO_TRADE': np.float32(0.03976843), 'SELL': np.float32(0.9123344)}"
2026-01-27,SELL,SELL,0.789,True,True,5.2,-1.85,"{'BUY': np.float32(0.16589878), 'NO_TRADE': np.float32(0.04469519), 'SELL': np.float32(0.789406)}"
2026-01-28,NO_TRADE,BUY,0.474,False,False,0.0,3.41,"{'BUY': np.float32(0.32155982), 'NO_TRADE': np.float32(0.20469578), 'SELL': np.float32(0.47374433)}"
2026-01-29,SELL,BUY,0.805,True,False,-4.1,1.45,"{'BUY': np.float32(0.07554616), 'NO_TRADE': np.float32(0.11951469), 'SELL': np.float32(0.80493915)}"
2026-01-30,SELL,NO_TRADE,0.874,True,False,0.41,-2.92,"{'BUY': np.float32(0.10797231), 'NO_TRADE': np.float32(0.018334933), 'SELL': np.float32(0.87369275)}"
2026-02-02,NO_TRADE,BUY,0.599,False,False,0.0,-2.73,"{'BUY': np.float32(0.29811037), 'NO_TRADE': np.float32(0.10318753), 'SELL': np.float32(0.59870213)}"
2026-02-03,SELL,BUY,0.863,True,False,-3.52,-3.52,"{'BUY': np.float32(0.05416279), 'NO_TRADE': np.float32(0.08318687), 'SELL': np.float32(0.8626504)}"
2026-02-04,SELL,BUY,0.763,True,False,-1.0,-6.77,"{'BUY': np.float32(0.15168244), 'NO_TRADE': np.float32(0.085271016), 'SELL': np.float32(0.76304656)}"
2026-02-05,SELL,NO_TRADE,0.866,True,False,-0.0,-7.48,"{'BUY': np.float32(0.0856537), 'NO_TRADE': np.float32(0.048114464), 'SELL': np.float32(0.8662318)}"
2026-02-06,SELL,SELL,0.779,True,True,0.99,-7.29,"{'BUY': np.float32(0.15836596), 'NO_TRADE': np.float32(0.062844455), 'SELL': np.float32(0.7787896)}"
2026-02-09,NO_TRADE,BUY,0.526,False,False,0.0,-6.23,"{'BUY': np.float32(0.066467196), 'NO_TRADE': np.float32(0.52622455), 'SELL': np.float32(0.40730825)}"
2026-02-10,SELL,SELL,0.816,True,True,1.47,-7.91,"{'BUY': np.float32(0.036833506), 'NO_TRADE': np.float32(0.14706741), 'SELL': np.float32(0.81609905)}"
2026-02-11,NO_TRADE,BUY,0.68,False,False,0.0,-6.35,"{'BUY': np.float32(0.10422186), 'NO_TRADE': np.float32(0.2155492), 'SELL': np.float32(0.68022895)}"
2026-02-12,SELL,NO_TRADE,0.86,True,False,-0.0,-7.13,"{'BUY': np.float32(0.04189528), 'NO_TRADE': np.float32(0.09797915), 'SELL': np.float32(0.8601256)}"
2026-02-13,SELL,BUY,0.898,True,False,-3.94,-7.08,"{'BUY': np.float32(0.045907274), 'NO_TRADE': np.float32(0.055665627), 'SELL': np.float32(0.89842707)}"
2026-02-18,NO_TRADE,SELL,0.632,False,False,0.0,-10.61,"{'BUY': np.float32(0.11183673), 'NO_TRADE': np.float32(0.2558497), 'SELL': np.float32(0.63231355)}"
2026-02-19,NO_TRADE,BUY,0.474,False,False,0.0,-7.03,"{'BUY': np.float32(0.27870312), 'NO_TRADE': np.float32(0.47406405), 'SELL': np.float32(0.24723285)}"
2026-02-20,SELL,BUY,0.825,True,False,-2.93,-7.95,"{'BUY': np.float32(0.071909375), 'NO_TRADE': np.float32(0.10271995), 'SELL': np.float32(0.82537067)}"
2026-02-23,SELL,BUY,0.819,True,False,-1.9,-10.57,"{'BUY': np.float32(0.043120243), 'NO_TRADE': np.float32(0.13739751), 'SELL': np.float32(0.81948227)}"
2026-02-24,NO_TRADE,SELL,0.441,False,False,0.0,-12.18,"{'BUY': np.float32(0.18021946), 'NO_TRADE': np.float32(0.37894303), 'SELL': np.float32(0.4408375)}"
2026-02-25,NO_TRADE,NO_TRADE,0.601,False,True,0.0,-10.89,"{'BUY': np.float32(0.092913896), 'NO_TRADE': np.float32(0.6011588), 'SELL': np.float32(0.30592728)}"
