date,decision,actual,confidence,traded,correct,pnl,lstm_signal,probs
2025-11-26,NO_TRADE,SELL,0.442,False,False,0.0,-28.53,"{'BUY': np.float32(0.43793628), 'NO_TRADE': np.float32(0.11968254), 'SELL': np.float32(0.44238114)}"
2025-11-27,SELL,SELL,0.708,True,True,1.68,-25.46,"{'BUY': np.float32(0.1236247), 'NO_TRADE': np.float32(0.16881412), 'SELL': np.float32(0.70756114)}"
2025-11-28,SELL,BUY,0.817,True,False,-3.99,-24.2,"{'BUY': np.float32(0.047155783), 'NO_TRADE': np.float32(0.13534519), 'SELL': np.float32(0.817499)}"
2025-12-01,NO_TRADE,SELL,0.412,False,False,0.0,-27.09,"{'BUY': np.float32(0.17785305), 'NO_TRADE': np.float32(0.41019264), 'SELL': np.float32(0.41195428)}"
2025-12-02,SELL,BUY,0.774,True,False,-0.56,-25.15,"{'BUY': np.float32(0.06959918), 'NO_TRADE': np.float32(0.1567509), 'SELL': np.float32(0.77364993)}"
2025-12-03,SELL,BUY,0.729,True,False,-1.4,-25.58,"{'BUY': np.float32(0.07907544), 'NO_TRADE': np.float32(0.19165258), 'SELL': np.float32(0.72927195)}"
2025-12-04,NO_TRADE,BUY,0.452,False,False,0.0,-26.59,"{'BUY': np.float32(0.17404814), 'NO_TRADE': np.float32(0.37407944), 'SELL': np.float32(0.45187244)}"
2025-12-05,NO_TRADE,SELL,0.651,False,False,0.0,-27.9,"{'BUY': np.float32(0.18203814), 'NO_TRADE': np.float32(0.16678956), 'SELL': np.float32(0.6511723)}"
2025-12-08,NO_TRADE,SELL,0.666,False,False,0.0,-26.4,"{'BUY': np.float32(0.2271993), 'NO_TRADE': np.float32(0.10660157), 'SELL': np.float32(0.6661991)}"
2025-12-09,SELL,BUY,0.902,True,False,-1.96,-25.18,"{'BUY': np.float32(0.07999824), 'NO_TRADE': np.float32(0.018221771), 'SELL': np.float32(0.90177995)}"
2025-12-10,NO_TRADE,SELL,0.601,False,False,0.0,-26.65,"{'BUY': np.float32(0.3260707), 'NO_TRADE': np.float32(0.072455615), 'SELL': np.float32(0.6014737)}"
2025-12-11,NO_TRADE,SELL,0.613,False,False,0.0,-25.19,"{'BUY': np.float32(0.104952745), 'NO_TRADE': np.float32(0.28156915), 'SELL': np.float32(0.6134781)}"
2025-12-12,NO_TRADE,SELL,0.581,False,False,0.0,-24.82,"{'BUY': np.float32(0.34131664), 'NO_TRADE': np.float32(0.07775085), 'SELL': np.float32(0.5809325)}"
2025-12-15,SELL,BUY,0.786,True,False,-1.44,-23.13,"{'BUY': np.float32(0.19058578), 'NO_TRADE': np.float32(0.023302808), 'SELL': np.float32(0.7861114)}"
2025-12-16,SELL,SELL,0.758,True,True,0.57,-24.33,"{'BUY': np.float32(0.21500859), 'NO_TRADE': np.float32(0.027230764), 'SELL': np.float32(0.75776064)}"
2025-12-17,SELL,SELL,0.86,True,True,1.14,-23.91,"{'BUY': np.float32(0.10105706), 'NO_TRADE': np.float32(0.039298225), 'SELL': np.float32(0.8596447)}"
2025-12-18,SELL,SELL,0.823,True,True,1.45,-23.09,"{'BUY': np.float32(0.083212964), 'NO_TRADE': np.float32(0.09395307), 'SELL': np.float32(0.82283396)}"
2025-12-19,SELL,BUY,0.759,True,False,-1.76,-22.04,"{'BUY': np.float32(0.17858857), 'NO_TRADE': np.float32(0.06269871), 'SELL': np.float32(0.75871265)}"
