date,decision,actual,confidence,traded,correct,pnl,hold_days,hit_sl,entry,exit
2025-12-01,SELL,BUY,0.749,True,False,-0.54,1,False,1702.6953125,1711.9490966796875
2025-12-03,NO_TRADE,NO_TRADE,0.688,False,False,0.0,0,False,,
2025-12-04,NO_TRADE,NO_TRADE,0.509,False,False,0.0,0,False,,
2025-12-07,NO_TRADE,NO_TRADE,0.6,False,False,0.0,0,False,,
2025-12-08,SELL,NO_TRADE,0.845,True,False,0.27,1,False,1698.0684814453125,1693.4415283203125
2025-12-10,NO_TRADE,NO_TRADE,0.512,False,False,0.0,0,False,,
2025-12-11,NO_TRADE,NO_TRADE,0.516,False,False,0.0,0,False,,
2025-12-14,SELL,SELL,0.752,True,True,1.1,1,False,1688.814697265625,1670.30712890625
2025-12-16,SELL,BUY,0.821,True,False,-4.68,1,True,1679.5609130859375,1758.218017578125
2025-12-18,SELL,NO_TRADE,0.713,True,False,0.26,1,False,1758.218017578125,1753.5911865234375
2025-12-22,NO_TRADE,NO_TRADE,0.549,False,False,0.0,0,False,,
2025-12-23,NO_TRADE,NO_TRADE,0.583,False,False,0.0,0,False,,
2025-12-28,NO_TRADE,NO_TRADE,0.619,False,False,0.0,0,False,,
2025-12-29,SELL,BUY,0.754,True,False,-0.55,1,False,1810.0,1820.0
2026-01-04,SELL,BUY,0.826,True,False,-1.36,1,False,1840.0,1865.0
2026-01-06,SELL,BUY,0.871,True,False,-1.0,1,False,2010.0,2030.0
2026-01-08,SELL,BUY,0.94,True,False,-2.38,1,True,2100.0,2150.0
2026-01-12,SELL,SELL,0.823,True,True,2.62,1,False,2290.0,2230.0
2026-01-14,SELL,SELL,0.87,True,True,2.69,1,False,2230.0,2170.0
2026-01-19,SELL,BUY,0.93,True,False,-0.89,1,False,2240.0,2260.0
2026-01-21,SELL,BUY,0.953,True,False,-2.13,1,True,2350.0,2400.0
2026-01-25,SELL,SELL,0.894,True,True,4.18,1,False,2390.0,2290.0
2026-01-27,NO_TRADE,NO_TRADE,0.472,False,False,0.0,0,False,,
2026-01-28,NO_TRADE,NO_TRADE,0.467,False,False,0.0,0,False,,
2026-01-29,NO_TRADE,NO_TRADE,0.457,False,False,0.0,0,False,,
2026-02-01,NO_TRADE,NO_TRADE,0.545,False,False,0.0,0,False,,
2026-02-02,NO_TRADE,NO_TRADE,0.684,False,False,0.0,0,False,,
2026-02-03,NO_TRADE,NO_TRADE,0.573,False,False,0.0,0,False,,
2026-02-04,SELL,SELL,0.8,True,True,0.95,1,False,2100.0,2080.0
2026-02-08,NO_TRADE,NO_TRADE,0.668,False,False,0.0,0,False,,
2026-02-09,SELL,BUY,0.762,True,False,-2.3,1,True,2170.0,2220.0
2026-02-11,SELL,NO_TRADE,0.771,True,False,0.0,1,False,2220.0,2220.0
2026-02-17,SELL,BUY,0.736,True,False,-2.22,1,True,2250.0,2300.0
2026-02-19,SELL,BUY,0.787,True,False,-0.87,1,False,2300.0,2320.0
2026-02-23,SELL,BUY,0.748,True,False,-3.49,1,True,2290.0,2370.0
2026-02-25,NO_TRADE,NO_TRADE,0.661,False,False,0.0,0,False,,
2026-02-26,SELL,BUY,0.829,True,False,-2.99,1,True,2340.0,2410.0
2026-03-02,SELL,SELL,0.929,True,True,2.83,1,False,2470.0,2400.0
2026-03-04,NO_TRADE,NO_TRADE,0.663,False,False,0.0,0,False,,
2026-03-05,NO_TRADE,NO_TRADE,0.671,False,False,0.0,0,False,,
2026-03-08,NO_TRADE,NO_TRADE,0.517,False,False,0.0,0,False,,
2026-03-09,NO_TRADE,NO_TRADE,0.477,False,False,0.0,0,False,,
2026-03-10,NO_TRADE,NO_TRADE,0.541,False,False,0.0,0,False,,
2026-03-11,SELL,SELL,0.847,True,True,0.8,1,False,2500.0,2480.0
2026-03-15,SELL,NO_TRADE,0.84,True,False,-0.41,1,False,2440.0,2450.0
2026-03-24,SELL,SELL,0.888,True,True,1.9,1,False,2630.0,2580.0
2026-03-26,SELL,BUY,0.917,True,False,-3.15,1,True,2540.0,2620.0
2026-03-30,SELL,SELL,0.705,True,True,3.49,1,False,2580.0,2490.0
2026-04-01,NO_TRADE,NO_TRADE,0.552,False,False,0.0,0,False,,
2026-04-05,NO_TRADE,NO_TRADE,0.5,False,False,0.0,0,False,,
2026-04-06,NO_TRADE,NO_TRADE,0.502,False,False,0.0,0,False,,
2026-04-07,NO_TRADE,NO_TRADE,0.61,False,False,0.0,0,False,,
2026-04-08,NO_TRADE,NO_TRADE,0.608,False,False,0.0,0,False,,
2026-04-09,SELL,BUY,0.713,True,False,-1.64,1,False,2440.0,2480.0
2026-04-13,NO_TRADE,NO_TRADE,0.669,False,False,0.0,0,False,,
2026-04-14,SELL,NO_TRADE,0.737,True,False,0.4,1,False,2520.0,2510.0
2026-04-16,SELL,SELL,0.754,True,True,1.17,1,False,2560.0,2530.0
2026-04-20,SELL,BUY,0.778,True,False,-0.8,1,False,2500.0,2520.0
