date,decision,actual,confidence,traded,correct,pnl,hold_days,hit_sl,entry,exit
2025-12-01,NO_TRADE,NO_TRADE,0.571,False,False,0.0,0,False,,
2025-12-02,NO_TRADE,NO_TRADE,0.578,False,False,0.0,0,False,,
2025-12-03,NO_TRADE,NO_TRADE,0.695,False,False,0.0,0,False,,
2025-12-04,BUY,BUY,0.705,True,True,2.06,1,False,2910.0,2970.0
2025-12-08,BUY,NO_TRADE,0.841,True,False,0.34,1,False,2920.0,2930.0
2025-12-10,NO_TRADE,NO_TRADE,0.842,False,False,0.0,0,False,,
2025-12-11,BUY,SELL,0.884,True,False,-0.66,1,False,3050.0,3030.0
2025-12-15,NO_TRADE,NO_TRADE,0.62,False,False,0.0,0,False,,
2025-12-16,NO_TRADE,NO_TRADE,0.511,False,False,0.0,0,False,,
2025-12-17,BUY,SELL,0.844,True,False,-1.29,1,False,3110.0,3070.0
2025-12-21,BUY,NO_TRADE,0.737,True,False,0.0,1,False,3190.0,3190.0
2025-12-23,NO_TRADE,NO_TRADE,0.693,False,False,0.0,0,False,,
2025-12-28,NO_TRADE,NO_TRADE,0.632,False,False,0.0,0,False,,
2025-12-29,NO_TRADE,NO_TRADE,0.481,False,False,0.0,0,False,,
2026-01-01,NO_TRADE,NO_TRADE,0.531,False,False,0.0,0,False,,
2026-01-04,NO_TRADE,NO_TRADE,0.383,False,False,0.0,0,False,,
2026-01-05,NO_TRADE,NO_TRADE,0.63,False,False,0.0,0,False,,
2026-01-06,NO_TRADE,NO_TRADE,0.642,False,False,0.0,0,False,,
2026-01-07,BUY,BUY,0.754,True,True,4.01,1,False,3490.0,3630.0
2026-01-11,NO_TRADE,NO_TRADE,0.579,False,False,0.0,0,False,,
2026-01-12,SELL,BUY,0.734,True,False,-5.41,1,True,3880.0,4090.0
2026-01-14,NO_TRADE,NO_TRADE,0.67,False,False,0.0,0,False,,
2026-01-18,NO_TRADE,NO_TRADE,0.486,False,False,0.0,0,False,,
2026-01-19,NO_TRADE,NO_TRADE,0.626,False,False,0.0,0,False,,
2026-01-20,NO_TRADE,NO_TRADE,0.5,False,False,0.0,0,False,,
2026-01-21,SELL,BUY,0.868,True,False,-1.66,1,False,4220.0,4290.0
2026-01-25,SELL,SELL,0.789,True,True,3.15,1,False,4760.0,4610.0
2026-01-27,NO_TRADE,NO_TRADE,0.548,False,False,0.0,0,False,,
2026-01-28,NO_TRADE,NO_TRADE,0.608,False,False,0.0,0,False,,
2026-01-29,NO_TRADE,NO_TRADE,0.498,False,False,0.0,0,False,,
2026-02-01,NO_TRADE,NO_TRADE,0.496,False,False,0.0,0,False,,
2026-02-02,NO_TRADE,NO_TRADE,0.462,False,False,0.0,0,False,,
2026-02-03,NO_TRADE,NO_TRADE,0.477,False,False,0.0,0,False,,
2026-02-04,BUY,SELL,0.808,True,False,-2.62,1,True,3810.0,3710.0
2026-02-08,NO_TRADE,NO_TRADE,0.669,False,False,0.0,0,False,,
2026-02-09,BUY,BUY,0.815,True,True,2.57,1,False,3890.0,3990.0
2026-02-11,SELL,SELL,0.821,True,True,1.7,1,False,4120.0,4050.0
2026-02-17,SELL,BUY,0.717,True,False,-4.44,1,True,4050.0,4230.0
2026-02-19,NO_TRADE,NO_TRADE,0.526,False,False,0.0,0,False,,
2026-02-22,NO_TRADE,NO_TRADE,0.469,False,False,0.0,0,False,,
2026-02-23,NO_TRADE,NO_TRADE,0.645,False,False,0.0,0,False,,
2026-02-24,NO_TRADE,NO_TRADE,0.689,False,False,0.0,0,False,,
2026-02-25,NO_TRADE,NO_TRADE,0.69,False,False,0.0,0,False,,
2026-02-26,SELL,BUY,0.816,True,False,-5.98,1,True,4350.0,4610.0
2026-03-02,NO_TRADE,NO_TRADE,0.657,False,False,0.0,0,False,,
2026-03-03,BUY,BUY,0.793,True,True,1.98,1,False,4050.0,4130.0
2026-03-05,NO_TRADE,NO_TRADE,0.682,False,False,0.0,0,False,,
2026-03-08,BUY,BUY,0.8,True,True,5.24,1,False,3820.0,4020.0
2026-03-10,BUY,SELL,0.709,True,False,-2.02,1,True,3970.0,3890.0
2026-03-12,BUY,SELL,0.929,True,False,-4.46,1,True,3810.0,3640.0
2026-03-16,NO_TRADE,NO_TRADE,0.491,False,False,0.0,0,False,,
2026-03-24,BUY,SELL,0.709,True,False,-5.25,1,True,3620.0,3430.0
2026-03-26,BUY,NO_TRADE,0.842,True,False,0.0,1,False,3500.0,3500.0
2026-03-30,BUY,BUY,0.924,True,True,6.0,1,False,3500.0,3710.0
2026-04-01,NO_TRADE,NO_TRADE,0.497,False,False,0.0,0,False,,
2026-04-05,BUY,SELL,0.825,True,False,-4.93,1,True,3650.0,3470.0
2026-04-07,BUY,NO_TRADE,0.706,True,False,0.27,1,False,3740.0,3750.0
2026-04-09,NO_TRADE,NO_TRADE,0.506,False,False,0.0,0,False,,
2026-04-12,BUY,BUY,0.743,True,True,4.0,1,False,3750.0,3900.0
2026-04-14,BUY,BUY,0.842,True,True,3.05,1,False,3940.0,4060.0
2026-04-16,BUY,SELL,0.775,True,False,-1.47,1,False,4070.0,4010.0
2026-04-20,NO_TRADE,NO_TRADE,0.442,False,False,0.0,0,False,,
2026-04-21,NO_TRADE,NO_TRADE,0.397,False,False,0.0,0,False,,
