date,decision,actual,confidence,traded,correct,pnl,hold_days,hit_sl,entry,exit
2025-12-01,NO_TRADE,NO_TRADE,0.67,False,False,0.0,0,False,,
2025-12-02,NO_TRADE,NO_TRADE,0.625,False,False,0.0,0,False,,
2025-12-03,NO_TRADE,NO_TRADE,0.481,False,False,0.0,0,False,,
2025-12-04,NO_TRADE,NO_TRADE,0.37,False,False,0.0,0,False,,
2025-12-05,NO_TRADE,NO_TRADE,0.557,False,False,0.0,0,False,,
2025-12-08,SELL,SELL,0.792,True,True,3.61,3,False,7951.8955078125,7664.47802734375
2025-12-12,NO_TRADE,NO_TRADE,0.572,False,False,0.0,0,False,,
2025-12-15,NO_TRADE,NO_TRADE,0.873,False,False,0.0,0,False,,
2025-12-16,NO_TRADE,NO_TRADE,0.824,False,False,0.0,0,False,,
2025-12-17,NO_TRADE,NO_TRADE,0.454,False,False,0.0,0,False,,
2025-12-18,NO_TRADE,NO_TRADE,0.795,False,False,0.0,0,False,,
2025-12-19,NO_TRADE,NO_TRADE,0.639,False,False,0.0,0,False,,
2025-12-22,NO_TRADE,NO_TRADE,0.672,False,False,0.0,0,False,,
2025-12-23,NO_TRADE,NO_TRADE,0.718,False,False,0.0,0,False,,
2025-12-24,NO_TRADE,NO_TRADE,0.628,False,False,0.0,0,False,,
2025-12-29,NO_TRADE,NO_TRADE,0.583,False,False,0.0,0,False,,
2025-12-30,NO_TRADE,NO_TRADE,0.608,False,False,0.0,0,False,,
2026-01-02,NO_TRADE,NO_TRADE,0.736,False,False,0.0,0,False,,
2026-01-05,NO_TRADE,NO_TRADE,0.524,False,False,0.0,0,False,,
2026-01-06,NO_TRADE,NO_TRADE,0.485,False,False,0.0,0,False,,
2026-01-07,NO_TRADE,NO_TRADE,0.591,False,False,0.0,0,False,,
2026-01-08,NO_TRADE,NO_TRADE,0.787,False,False,0.0,0,False,,
2026-01-09,NO_TRADE,NO_TRADE,0.67,False,False,0.0,0,False,,
2026-01-12,NO_TRADE,NO_TRADE,0.544,False,False,0.0,0,False,,
2026-01-13,NO_TRADE,NO_TRADE,0.616,False,False,0.0,0,False,,
2026-01-14,NO_TRADE,NO_TRADE,0.526,False,False,0.0,0,False,,
2026-01-15,NO_TRADE,NO_TRADE,0.579,False,False,0.0,0,False,,
2026-01-19,NO_TRADE,NO_TRADE,0.523,False,False,0.0,0,False,,
2026-01-20,NO_TRADE,NO_TRADE,0.704,False,False,0.0,0,False,,
2026-01-21,NO_TRADE,NO_TRADE,0.647,False,False,0.0,0,False,,
2026-01-22,NO_TRADE,NO_TRADE,0.426,False,False,0.0,0,False,,
2026-01-23,NO_TRADE,NO_TRADE,0.401,False,False,0.0,0,False,,
2026-01-26,NO_TRADE,NO_TRADE,0.572,False,False,0.0,0,False,,
2026-01-27,NO_TRADE,NO_TRADE,0.492,False,False,0.0,0,False,,
2026-01-28,NO_TRADE,NO_TRADE,0.726,False,False,0.0,0,False,,
2026-01-29,BUY,BUY,0.912,True,True,6.25,3,False,6898.0302734375,7329.15673828125
2026-02-04,NO_TRADE,NO_TRADE,0.561,False,False,0.0,0,False,,
2026-02-05,NO_TRADE,NO_TRADE,0.767,False,False,0.0,0,False,,
2026-02-06,NO_TRADE,NO_TRADE,0.589,False,False,0.0,0,False,,
2026-02-09,NO_TRADE,NO_TRADE,0.65,False,False,0.0,0,False,,
2026-02-10,NO_TRADE,NO_TRADE,0.563,False,False,0.0,0,False,,
