date,decision,actual,confidence,traded,correct,pnl,hold_days,hit_sl,entry,exit
2025-12-01,NO_TRADE,NO_TRADE,0.499,False,False,0.0,0,False,,
2025-12-02,NO_TRADE,NO_TRADE,0.468,False,False,0.0,0,False,,
2025-12-03,SELL,BUY,0.702,True,False,-2.72,1,True,1285.0,1320.0
2025-12-07,NO_TRADE,NO_TRADE,0.682,False,False,0.0,0,False,,
2025-12-08,SELL,SELL,0.872,True,True,0.78,1,False,1285.0,1275.0
2025-12-10,BUY,BUY,0.756,True,True,6.91,1,False,1230.0,1315.0
2025-12-14,NO_TRADE,NO_TRADE,0.494,False,False,0.0,0,False,,
2025-12-15,NO_TRADE,NO_TRADE,0.618,False,False,0.0,0,False,,
2025-12-16,NO_TRADE,NO_TRADE,0.635,False,False,0.0,0,False,,
2025-12-17,NO_TRADE,NO_TRADE,0.646,False,False,0.0,0,False,,
2025-12-18,NO_TRADE,NO_TRADE,0.658,False,False,0.0,0,False,,
2025-12-21,NO_TRADE,NO_TRADE,0.628,False,False,0.0,0,False,,
2025-12-22,NO_TRADE,NO_TRADE,0.588,False,False,0.0,0,False,,
2025-12-23,NO_TRADE,NO_TRADE,0.498,False,False,0.0,0,False,,
2025-12-28,NO_TRADE,NO_TRADE,0.408,False,False,0.0,0,False,,
2025-12-29,NO_TRADE,NO_TRADE,0.527,False,False,0.0,0,False,,
2026-01-01,NO_TRADE,NO_TRADE,0.647,False,False,0.0,0,False,,
2026-01-04,NO_TRADE,NO_TRADE,0.689,False,False,0.0,0,False,,
2026-01-05,NO_TRADE,NO_TRADE,0.494,False,False,0.0,0,False,,
2026-01-06,NO_TRADE,NO_TRADE,0.377,False,False,0.0,0,False,,
2026-01-07,NO_TRADE,NO_TRADE,0.481,False,False,0.0,0,False,,
2026-01-08,NO_TRADE,NO_TRADE,0.493,False,False,0.0,0,False,,
2026-01-11,NO_TRADE,NO_TRADE,0.651,False,False,0.0,0,False,,
2026-01-12,NO_TRADE,NO_TRADE,0.557,False,False,0.0,0,False,,
2026-01-13,NO_TRADE,NO_TRADE,0.44,False,False,0.0,0,False,,
2026-01-14,BUY,BUY,0.701,True,True,1.37,1,False,1460.0,1480.0
2026-01-19,NO_TRADE,NO_TRADE,0.68,False,False,0.0,0,False,,
2026-01-20,NO_TRADE,NO_TRADE,0.685,False,False,0.0,0,False,,
2026-01-21,NO_TRADE,NO_TRADE,0.448,False,False,0.0,0,False,,
2026-01-22,NO_TRADE,NO_TRADE,0.424,False,False,0.0,0,False,,
2026-01-25,NO_TRADE,NO_TRADE,0.364,False,False,0.0,0,False,,
2026-01-26,NO_TRADE,NO_TRADE,0.364,False,False,0.0,0,False,,
2026-01-27,NO_TRADE,NO_TRADE,0.53,False,False,0.0,0,False,,
2026-01-28,SELL,BUY,0.757,True,False,-1.0,1,False,1505.0,1520.0
2026-02-01,SELL,BUY,0.754,True,False,-2.11,1,True,1425.0,1455.0
2026-02-03,BUY,SELL,0.747,True,False,-4.03,1,True,1490.0,1430.0
2026-02-05,BUY,NO_TRADE,0.719,True,False,-0.34,1,False,1480.0,1475.0
2026-02-09,NO_TRADE,NO_TRADE,0.393,False,False,0.0,0,False,,
2026-02-10,NO_TRADE,NO_TRADE,0.425,False,False,0.0,0,False,,
2026-02-11,SELL,NO_TRADE,0.748,True,False,0.0,1,False,1580.0,1580.0
2026-02-17,NO_TRADE,NO_TRADE,0.573,False,False,0.0,0,False,,
2026-02-18,NO_TRADE,NO_TRADE,0.513,False,False,0.0,0,False,,
2026-02-19,NO_TRADE,NO_TRADE,0.639,False,False,0.0,0,False,,
2026-02-22,NO_TRADE,NO_TRADE,0.492,False,False,0.0,0,False,,
2026-02-23,NO_TRADE,NO_TRADE,0.422,False,False,0.0,0,False,,
2026-02-24,NO_TRADE,NO_TRADE,0.627,False,False,0.0,0,False,,
2026-02-25,NO_TRADE,NO_TRADE,0.533,False,False,0.0,0,False,,
2026-02-26,NO_TRADE,NO_TRADE,0.646,False,False,0.0,0,False,,
2026-03-01,NO_TRADE,NO_TRADE,0.549,False,False,0.0,0,False,,
2026-03-02,NO_TRADE,NO_TRADE,0.623,False,False,0.0,0,False,,
2026-03-03,NO_TRADE,NO_TRADE,0.618,False,False,0.0,0,False,,
2026-03-04,NO_TRADE,NO_TRADE,0.544,False,False,0.0,0,False,,
2026-03-05,NO_TRADE,NO_TRADE,0.62,False,False,0.0,0,False,,
2026-03-08,BUY,BUY,0.847,True,True,2.07,1,False,1690.0,1725.0
2026-03-10,NO_TRADE,NO_TRADE,0.533,False,False,0.0,0,False,,
2026-03-11,NO_TRADE,NO_TRADE,0.606,False,False,0.0,0,False,,
2026-03-12,NO_TRADE,NO_TRADE,0.634,False,False,0.0,0,False,,
2026-03-15,NO_TRADE,NO_TRADE,0.507,False,False,0.0,0,False,,
2026-03-16,NO_TRADE,NO_TRADE,0.438,False,False,0.0,0,False,,
2026-03-24,NO_TRADE,NO_TRADE,0.508,False,False,0.0,0,False,,
2026-03-25,NO_TRADE,NO_TRADE,0.55,False,False,0.0,0,False,,
2026-03-26,NO_TRADE,NO_TRADE,0.624,False,False,0.0,0,False,,
2026-03-29,NO_TRADE,NO_TRADE,0.524,False,False,0.0,0,False,,
2026-03-30,NO_TRADE,NO_TRADE,0.4,False,False,0.0,0,False,,
2026-03-31,BUY,SELL,0.75,True,False,-4.75,1,True,1685.0,1605.0
